Epoch,Iteration,Step,loss,style,content,tv
0,2000,2000,14144342.0,23935.408,14030792.0,89615.36
0,4000,4000,9697591.0,9659.386,9640373.0,47559.15
0,6000,6000,265734.94,438.7804,262013.08,3283.0977
0,8000,8000,31531.037,24.401062,29237.438,2269.1995
0,10000,10000,13356.56,18.7206,11189.36,2148.4783
0,12000,12000,8652.982,13.935905,6652.9,1986.1467
0,14000,14000,35449.78,50.515087,29767.092,5632.172
0,16000,16000,4340.2686,21.685572,2846.0654,1472.5176
0,18000,18000,15816.957,25.948153,9279.857,6511.152
0,20000,20000,2871.6902,28.254658,1468.2898,1375.1458
1,2000,22000,1897.9502,20.130684,869.4806,1008.33887
1,4000,24000,1707.2241,16.8636,1022.6115,667.7491
1,6000,26000,1877.4766,9.443467,1083.4458,784.5873
1,8000,28000,1823.949,13.41148,1080.7996,729.73785
1,10000,30000,1501.3298,16.13598,731.6015,753.59235
1,12000,32000,3427.538,14.613354,2813.567,599.3578
1,14000,34000,2456.8623,20.198072,1444.7389,991.92523
1,16000,36000,1179.0256,19.901995,734.29236,424.83136
1,18000,38000,2408.9055,13.200205,781.2835,1614.4219
1,20000,40000,732.9436,28.21398,316.8995,387.8301
2,2000,42000,1360.8547,19.433226,768.3392,573.0824
2,4000,44000,1004.39026,16.490538,659.1204,328.77933
2,6000,46000,863.72107,9.602809,582.8006,271.3177
2,8000,48000,771.9885,13.139043,441.42874,317.42075
2,10000,50000,681.07495,15.8820505,380.73303,284.45987
2,12000,52000,780.40857,13.554786,559.2072,207.64651
2,14000,54000,2223.0635,20.690685,1389.4565,812.9164
2,16000,56000,577.3229,19.624023,249.84663,307.85223
2,18000,58000,362.6955,13.662201,176.47853,172.55475
2,20000,60000,770.4295,27.853785,330.23154,412.34418
3,2000,62000,399.14056,19.894716,230.31842,148.92741
3,4000,64000,321.75006,16.929434,194.67252,110.14813
3,6000,66000,605.4552,8.628482,497.36276,99.46394
3,8000,68000,262.46478,12.86255,163.29489,86.30735
3,10000,70000,308.1429,16.031788,192.27138,99.83975
3,12000,72000,277.06927,13.687673,185.10376,78.27785
3,14000,74000,304.2175,21.043465,207.98772,75.18631
3,16000,76000,182.59842,19.439287,86.780914,76.37822
3,18000,78000,178.40329,13.494312,96.178116,68.73086
3,20000,80000,159.81668,28.00974,67.61226,64.19468
4,2000,82000,219.50067,20.017523,138.38908,61.09407
4,4000,84000,220.84163,17.013681,149.17906,54.64888
4,6000,86000,237.72507,8.996281,170.67831,58.05047
4,8000,88000,327.2801,12.070047,265.1029,50.107155
4,10000,90000,442.20184,16.622766,374.15686,51.422203
4,12000,92000,224.79848,13.346235,156.54831,54.903927
4,14000,94000,258.09186,21.523138,183.70334,52.8654
4,16000,96000,124.903564,19.519617,57.446995,47.936947
4,18000,98000,113.456535,13.989064,57.56841,41.899063
4,20000,100000,122.544815,28.448065,52.80452,41.29223
5,2000,102000,157.6555,20.0378,96.64256,40.97514
5,4000,104000,131.32608,16.874138,76.64557,37.806366
5,6000,106000,213.67696,9.009774,165.47223,39.194942
5,8000,108000,186.28792,12.993344,128.9505,44.344074
5,10000,110000,176.3736,15.917797,113.90624,46.549557
5,12000,112000,145.2243,13.279803,94.69647,37.24804
5,14000,114000,205.30017,21.608707,145.4901,38.201378
5,16000,116000,136.29877,19.26665,74.67965,42.352474
5,18000,118000,117.0905,13.685421,63.64009,39.764988
5,20000,120000,194.65051,28.946077,127.37786,38.326576
6,2000,122000,200.62463,19.528887,145.07773,36.018013
6,4000,124000,126.066826,16.866724,74.45564,34.74446
6,6000,126000,184.02025,8.767467,140.30154,34.95123
6,8000,128000,1039.1294,14.171105,991.57886,33.379444
6,10000,130000,139.38718,16.03775,84.36941,38.98001
6,12000,132000,109.16939,13.228411,59.38892,36.552055
6,14000,134000,212.01047,21.462801,150.60555,39.942123
6,16000,136000,99.14186,19.561106,39.249783,40.33097
6,18000,138000,98.26072,13.757787,48.45159,36.051342
6,20000,140000,124.05966,27.838879,59.886173,36.33461
7,2000,142000,104.96175,20.010962,51.395348,33.55543
7,4000,144000,102.46471,16.835278,54.74219,30.88724
7,6000,146000,122.82289,9.072127,81.287415,32.463352
7,8000,148000,106.71622,12.77294,58.294086,35.64919
7,10000,150000,291.5599,15.138511,240.86537,35.556038
7,12000,152000,116.70184,13.541057,68.765015,34.39578
7,14000,154000,169.86978,21.619118,114.113396,34.137276
